mu_freq_seq_r	mu_freq_seq_s	mu_freq_cdr1_r	mu_freq_cdr1_s	mu_freq_cdr2_r	mu_freq_cdr2_s	mu_freq_fwr1_r	mu_freq_fwr1_s	mu_freq_fwr2_r	mu_freq_fwr2_s	mu_freq_fwr3_r	mu_freq_fwr3_s
0.011049723756906077	0	0.041666666666666664	0	0	0	0	0	0	0	0.017543859649122806	0
0.005555555555555556	0.002777777777777778	0.041666666666666664	0	0	0	0	0	0	0	0	0
0.008241758241758242	0.01098901098901099	0	0.041666666666666664	0	0	0	0	0	0.0196078431372549	0	0.017543859649122806
0.01652892561983471	0.008264462809917356	0.041666666666666664	0	0.041666666666666664	0	0	0	0.0196078431372549	0	0	0.017543859649122806
0.002824858757062147	0.005649717514124294	0	0	0	0	0	0	0	0	0.008771929824561403	0.008771929824561403
0.0027472527472527475	0.005494505494505495	0	0.03333333333333333	0	0	0	0	0	0	0	0.008771929824561403
0.00819672131147541	0.00546448087431694	0.08333333333333333	0	0	0	0	0	0	0	0.008771929824561403	0.017543859649122806
0.010752688172043012	0.002688172043010753	0.041666666666666664	0	0	0	0	0	0.0196078431372549	0	0.008771929824561403	0
0.0056022408963585435	0	0	0	0	0	0	0	0	0	0.008771929824561403	0
0.011049723756906077	0.008287292817679558	0.041666666666666664	0	0	0	0	0	0	0	0.008771929824561403	0.008771929824561403
0.0055248618784530384	0.013812154696132596	0	0.125	0	0	0	0	0.0196078431372549	0	0.008771929824561403	0
0.016304347826086956	0.008152173913043478	0	0	0	0	0	0	0.0196078431372549	0	0.008771929824561403	0
0.005509641873278237	0.005509641873278237	0	0	0	0	0	0	0	0	0	0.008771929824561403
0.008333333333333333	0	0.041666666666666664	0	0	0	0	0	0	0	0.008771929824561403	0
0.00273224043715847	0	0	0	0	0	0	0	0	0	0.008771929824561403	0
0.013850415512465374	0.00554016620498615	0.041666666666666664	0	0	0.041666666666666664	0	0	0.0196078431372549	0	0.02631578947368421	0
0.01662049861495845	0.002770083102493075	0.08333333333333333	0	0.041666666666666664	0	0	0	0	0	0	0.008771929824561403
0.016901408450704224	0	0.08333333333333333	0	0	0	0	0	0.0392156862745098	0	0.008771929824561403	0
0.005494505494505495	0.0027472527472527475	0	0	0.041666666666666664	0	0	0	0	0	0	0.008771929824561403
0.0027247956403269754	0.008174386920980926	0.041666666666666664	0	0	0	0	0	0	0.0196078431372549	0	0.008771929824561403
0.0057306590257879654	0.011461318051575931	0.08333333333333333	0	0	0.041666666666666664	0	0	0	0	0	0.017543859649122806
0.011019283746556474	0.008264462809917356	0.041666666666666664	0.041666666666666664	0	0	0	0	0	0	0.017543859649122806	0
0.011267605633802818	0.008450704225352112	0.041666666666666664	0	0	0.041666666666666664	0	0	0	0	0.017543859649122806	0
0.0028089887640449437	0	0.041666666666666664	0	0	0	0	0	0	0	0	0
0.013888888888888888	0.002777777777777778	0.125	0	0.06666666666666667	0	0	0	0	0	0	0
0.005633802816901409	0.0028169014084507044	0	0	0	0	0	0	0	0.0196078431372549	0	0
0.005763688760806916	0.005763688760806916	0	0.041666666666666664	0	0	0	0	0	0.0196078431372549	0.017543859649122806	0
0.011661807580174927	0.0029154518950437317	0	0	0	0.041666666666666664	0	0	0.0392156862745098	0	0	0
0.01440922190201729	0.002881844380403458	0.041666666666666664	0	0.08333333333333333	0	0	0	0.0196078431372549	0	0.008771929824561403	0
0.005649717514124294	0.011299435028248588	0	0.041666666666666664	0.03333333333333333	0.03333333333333333	0	0	0	0	0.008771929824561403	0
0.0084985835694051	0.0084985835694051	0.041666666666666664	0.041666666666666664	0	0.041666666666666664	0	0	0	0	0.008771929824561403	0
0.011204481792717087	0.008403361344537815	0	0	0.09523809523809523	0	0	0	0	0	0.008771929824561403	0.008771929824561403
0.00847457627118644	0.002824858757062147	0	0	0	0.041666666666666664	0	0	0	0	0.017543859649122806	0
0.008264462809917356	0.011019283746556474	0	0	0	0.041666666666666664	0	0	0.0196078431372549	0	0.008771929824561403	0.008771929824561403
0.0113314447592068	0.0028328611898017	0.041666666666666664	0	0	0	0	0	0	0	0.008771929824561403	0.008771929824561403
0.011019283746556474	0.005509641873278237	0.041666666666666664	0	0	0.047619047619047616	0	0	0	0	0.017543859649122806	0
0.005555555555555556	0.013888888888888888	0	0	0	0	0	0	0	0	0.017543859649122806	0.03508771929824561
0.010752688172043012	0.010752688172043012	0	0	0	0	0	0	0	0	0.008771929824561403	0.02631578947368421
0.016574585635359115	0.008287292817679558	0	0	0.03333333333333333	0	0	0	0.0392156862745098	0	0	0
0.002793296089385475	0.008379888268156424	0	0	0	0	0	0	0.0196078431372549	0	0	0.008771929824561403
0.030303030303030304	0.005509641873278237	0	0.03333333333333333	0	0	0	0	0.058823529411764705	0	0.03508771929824561	0
0.013850415512465374	0	0.06666666666666667	0	0	0	0	0	0.0196078431372549	0	0.008771929824561403	0
